Rank,Athlete,Sports,Team,,Nationality,Salary,Endorsements,Total
1,Cristiano Ronaldo,⚽,Al-Nassr,,"Portuguese
",$215M,$60M,$275M
2,Jon Rahm,🏌️‍♂️,,,Spanish,$181M,$22M,$203M
3,Lionel Messi,⚽,Inter Miami,,Argentine,$65M,$65M,$130M
4,LeBron James,🏀,Los Angeles Lakers,,American,$45.7M,$80M,$125.7M
5,Kylian Mbappé,⚽,Paris Saint-Germain,,French,$100M,$25M,$125M
6,Neymar,⚽,Al-Hilal,,Brazilian,$86M,$35M,$121M
7,Stephen Curry,🏀,Golden State Warriors,,American,$48.9M,$50M,$98.9M
8,Giannis Antetokounmpo,🏀,Milwaukee Bucks,,Nigerian,$43.4M,$45M,$88.4M
9,Kevin Durant,🏀,Phoenix Suns,,American,$44.9M,$42M,$86.9M
10,Patrick Mahomes,🏈,Kansas City Chiefs,,American,$59.3M,$25M,$84.3M
11,Lamar Jackson,🏈,Baltimore Ravens,,American,$80M,$2.5M,$82.5M
12,Karim Benzema,⚽,Al-Ittihad,,French,$70M,$8M,$78M
13,Rory McIlroy,🏌️‍♂️,,,British,$37.4M,$40M,$77.4M
14,Tiger Woods,🏌️‍♂️,,,American,$12.2M,$65M,$77.2M
15,Max Verstappen,🏎,Red Bull Racing,,Dutch,$70M,$5M,$75M
16,Shohei Ohtani,⚾,Los Angeles Dodgers,,Japanese,$30M,$40M,$70M
17,Canelo Álvarez,🥊,,,"Mexican",$60M,$6M,$66M
18,Erling Haaland,⚽,Manchester City,,Norway,$45M,$18M,$63M
19,Lewis Hamilton,🏎,Mercedes,,British,$50M,$12M,$62M
20,Max Scherzer,⚾,Texas Rangers,,American,$58.8M,$2M,$60.8M
21,Damian Lillard,🏀,Milwaukee Bucks,,American,$43.3M,$17M,$60.3M
22,Klay Thompson,🏀,Golden State Warriors,,American,$41.1M,$19M,$60.1M
23,Mohamed Salah,⚽,Liverpool,,Egyptian,$36M,$20M,$56M
24,Anthony Joshua,🥊,,,British,$42M,$13M,$55M
25,Russell Westbrook,🏀,Los Angeles Clippers,,American,$29M,$25M,$54M
26,Nick Bosa,🏈,San Francisco 49ers,,American,$51.1M,$2.5M,$53.6M
27,Viktor Hovland,🏌️‍♂️,,,Norwegian,$39.3M,$13M,$52.3M
27,Scottie Scheffler,🏌️‍♂️,,,American,$33.3M,$19M,$52.3M
29,James Harden,🏀,Los Angeles Clippers,,American,$33.6M,$18M,$51.6M
30,Joe Burrow,🏈,Cincinnati Bengals,,American,$45.5M,$6M,$51.5M
31,Paul George,🏀,Los Angeles Clippers,,American,$43.1M,$8M,$51.1M
32,Bradley Beal,🏀,Phoenix Suns,,American,$44M,$6.5M,$50.5M
33,Kawhi Leonard,🏀,Los Angeles Clippers,,American,$43.1M,$7M,$50.1M
34,Luka Dončić,🏀,Dallas Mavericks,,Slovenian,$37.7M,$12M,$49.7M
35,Jimmy Butler,🏀,Miami Heat,,American,$40.4M,$7.5M,$47.9M
36,Daniel Jones,🏈,New York Giants,,American,$46M,$1.5M,$47.5M
37,Jake Paul,🥊,,,American,$37M,$10M,$47M
38,Joel Embiid,🏀,Philadelphia 76ers,,American,$38.8M,$8M,$46.8M
39,Brooks Koepka,🏌️‍♂️,,,American,$38.7M,$8M,$46.7M
40,Deshaun Watson,🏈,Cleveland Browns,,American,$46M,$500K,$46.5M
41,Devin Booker,🏀,Phoenix Suns,,"American
",$34.3M,$12M,$46.3M
42,Aaron Rodgers,🏈,New York Jets,,American,$36.9M,$9M,$45.9M
43,Nikola Jokic,🏀,Denver Nuggets,,Serbian,$39.7M,$6M,$45.7M
44,Anthony Davis,🏀,Los Angeles Lakers,,American,$39M,$6.5M,$45.5M
45,Dak Prescott,🏈,Dallas Cowboys,,American,$31M,$14M,$45M
46,Novak Djokovic,🎾,,,Serbian,$15.9M,$29M,$44.9M
47,Trae Young,🏀,Atlanta Hawks,,"American",$37.7M,$7M,$44.7M
48,Justin Verlander,⚾,Houston Astros,,American,$43.5M,$1M,$44.5M
49,Aaron Judge,⚾,New York Yankees,,American,$40M,$4M,$44M
50,Zach LaVine,🏀,Chicago Bulls,,American,$37.7M,$6M,$43.7M
51,Cameron Smith,🏌️‍♂️,,,Australian,$36.3M,$7M,$43.3M
52,Kyrie Irving,🏀,Dallas Mavericks,,American,$36.2M,$7M,$43.2M
53,Jordan Spieth,🏌️‍♂️,,,American,$15.9M,$27M,$42.9M
54,Gervonta Davis,🥊,,,American,$42M,$500K,$42.5M
54,Kyler Murray,🏈,Arizona Cardinals,,American,$39M,$3.5M,$42.5M
56,Carlos Alcaraz,🎾,,,Spanish,$15.2M,$27M,$42.2M
57,Jamal Murray,🏀,Denver Nuggets,,Canadian,$32.5M,$8.5M,$41M
58,Ryan Garcia,🥊,,,American,$37M,$3.5M,$40.5M
58,Mike Trout,⚾,Los Angeles Angels,,American,$35.5M,$5M,$40.5M
60,Donovan Mitchell,🏀,Cleveland Cavaliers,,American,$30.9M,$9.5M,$40.4M
61,Rudy Gobert,🏀,Minnesota Timberwolves,,French,$38.7M,$1.5M,$40.2M
61,Talor Gooch,🏌️‍♂️,,,American,$38.2M,$2M,$40.2M
63,Jayson Tatum,🏀,Boston Celtics,,American,$31.1M,$9M,$40.1M
64,Tyson Fury,🥊,,,British,$32M,$8M,$40M
65,Rashan Gary,🏈,Green Bay Packers,,American,$39.5M,$400K,$39.9M
66,Tobias Harris,🏀,Philadelphia 76ers,,American,$37.8M,$1.5M,$39.3M
67,Chris Paul,🏀,Golden State Warriors,,American,$29M,$9.5M,$38.5M
68,Ben Simmons,🏀,Brooklyn Nets,,American,$35.9M,$2.5M,$38.4M
69,Anthony Rendon,⚾,Los Angeles Angels,,American,$38M,$250K,$38.3M
70,Pascal Siakam,🏀,Indiana Pacers,,Cameroonian,$36M,$2M,$38M
71,Russell Wilson,🏈,Denver Broncos,,American,$28M,$10M,$38M
72,Sadio Mané,⚽,Al-Nassr,,Senegalese,$32M,$6M,$38M
73,CJ McCollum,🏀,New Orleans Pelicans,,American,$33.9M,$4M,$37.9M
74,Jrue Holiday,🏀,Boston Celtics,,American,$35M,$2.8M,$37.8M
75,Zion Williamson,🏀,New Orleans Pelicans,,American,$21.6M,$16M,$37.6M
76,Gerrit Cole,⚾,New York Yankees,,American,$36M,$1.5M,$37.5M
77,Corey Seager,⚾,Texas Rangers,,American,$35.5M,$2M,$37.5M
78,Karl-Anthony Towns,🏀,Minnesota Timberwolves,,American,$34.2M,$3M,$37.2M
79,Carlos Correa,⚾,Minnesota Twins,,Puerto Rican,$36M,$1M,$37M
80,Josh Allen,🏈,Buffalo Bills,,American,$28M,$9M,$37M
81,Kristaps Porziņģis,🏀,Boston Celtics,,Latvian,$34.2M,$2.5M,$36.7M
82,Brandon Ingram,🏀,New Orleans Pelicans,,American,$32.1M,$4M,$36.1M
83,Riyad Mahrez,⚽,Al-Ahli,,French,$34M,$2M,$36M
84,Robert Lewandowski,⚽,Barcelona,,Polish,$24M,$12M,$36M
